Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Date,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Daily_Transaction_Count,Card_Type,Card_Age,Fraud_Label
TXN_33553,USER_1834,39.79,POS,2023-08-14,93213.17,Laptop,Sydney,Travel,0,7,Amex,65,0
TXN_9427,USER_7875,1.19,Bank Transfer,2023-06-07,75725.25,Mobile,New York,Clothing,0,13,Mastercard,186,1
TXN_199,USER_2734,28.96,Online,2023-06-20,1588.96,Tablet,Mumbai,Restaurants,0,14,Visa,226,1
TXN_12447,USER_2617,254.32,ATM Withdrawal,2023-12-07,76807.2,Tablet,New York,Clothing,0,8,Visa,76,1
TXN_39489,USER_2014,31.28,POS,2023-11-11,92354.66,Mobile,Mumbai,Electronics,1,14,Mastercard,140,1
TXN_42724,USER_6852,168.55,Online,2023-06-05,33236.94,Laptop,Tokyo,Restaurants,0,3,Discover,51,0
TXN_10822,USER_5052,3.79,POS,2023-11-07,86834.18,Tablet,London,Restaurants,0,2,Mastercard,168,0
TXN_49498,USER_4660,7.08,ATM Withdrawal,2023-02-25,45826.27,Tablet,London,Restaurants,0,3,Discover,182,1
TXN_4144,USER_1584,34.25,ATM Withdrawal,2023-03-09,94392.35,Tablet,Tokyo,Clothing,0,7,Visa,24,0
TXN_36958,USER_9498,16.24,POS,2023-09-20,91859.97,Mobile,Mumbai,Travel,0,6,Mastercard,124,0
TXN_43106,USER_2848,367.5,POS,2023-04-11,14640.09,Laptop,Mumbai,Electronics,0,4,Amex,136,0
TXN_38695,USER_6860,50.44,ATM Withdrawal,2023-08-06,19962.22,Laptop,London,Travel,0,14,Discover,131,0
TXN_6188,USER_6728,55.5,ATM Withdrawal,2023-07-20,89664.63,Laptop,London,Groceries,0,6,Discover,192,1
TXN_1414,USER_6655,54.09,Bank Transfer,2023-11-17,51287.15,Mobile,Sydney,Electronics,0,11,Amex,91,0
TXN_18471,USER_7651,9.66,Online,2023-06-20,12420.17,Tablet,New York,Electronics,0,6,Mastercard,5,0
TXN_29282,USER_1248,64.78,POS,2023-07-03,23487.76,Laptop,Mumbai,Restaurants,0,1,Amex,3,0
TXN_15177,USER_9349,37.11,POS,2023-12-21,92977.91,Tablet,Sydney,Electronics,0,12,Visa,135,0
TXN_34304,USER_9413,1.58,Bank Transfer,2023-04-08,63076.36,Laptop,New York,Clothing,0,13,Amex,47,0
TXN_12609,USER_5861,178.56,POS,2023-08-16,62359.52,Tablet,Tokyo,Groceries,0,4,Visa,29,1
TXN_12144,USER_5939,19.37,Bank Transfer,2023-04-29,34416.01,Tablet,London,Travel,0,9,Discover,129,0
TXN_6113,USER_5566,22.02,ATM Withdrawal,2023-12-28,55851.38,Mobile,Sydney,Electronics,0,13,Visa,204,0
TXN_15908,USER_4615,203.97,ATM Withdrawal,2023-06-18,73616.91,Mobile,New York,Restaurants,0,4,Mastercard,173,1
TXN_821,USER_3832,55.35,POS,2023-05-11,88292.27,Tablet,Sydney,Electronics,0,12,Visa,80,0
TXN_15118,USER_9751,17.17,ATM Withdrawal,2023-11-25,71983.33,Mobile,Sydney,Electronics,0,2,Mastercard,165,0
TXN_13466,USER_9775,72.33,ATM Withdrawal,2023-08-14,29954.64,Mobile,Sydney,Clothing,0,3,Discover,120,1
TXN_26497,USER_6725,188.75,Online,2023-07-16,58078.66,Mobile,Sydney,Travel,1,4,Amex,85,0
TXN_42111,USER_3085,2.61,Bank Transfer,2023-01-11,51803.62,Tablet,Tokyo,Groceries,0,1,Visa,86,0
TXN_30188,USER_7987,195.76,Online,2023-11-28,85000.68,Tablet,Mumbai,Travel,1,14,Mastercard,65,0
TXN_37237,USER_1116,8.06,ATM Withdrawal,2023-07-09,38155.13,Laptop,Sydney,Travel,0,9,Mastercard,232,1
TXN_33109,USER_8088,73.34,Bank Transfer,2023-04-20,72060.59,Laptop,London,Clothing,0,9,Visa,92,0
TXN_36480,USER_4147,9.82,Bank Transfer,2023-11-08,39996.92,Mobile,Sydney,Electronics,0,13,Discover,152,1
TXN_24148,USER_7419,197.21,Online,2023-04-29,32472.3,Laptop,Sydney,Electronics,0,14,Visa,225,1
TXN_5503,USER_7666,56.45,ATM Withdrawal,2023-08-22,1525.05,Mobile,Mumbai,Restaurants,0,8,Amex,103,0
TXN_3918,USER_5135,0.32,Online,2023-11-18,39236.78,Mobile,Sydney,Electronics,0,11,Amex,38,0
TXN_38478,USER_8041,63.83,POS,2023-04-24,75526.24,Laptop,Sydney,Restaurants,0,14,Visa,45,0
TXN_21123,USER_2155,147.71,POS,2023-04-11,40660.04,Laptop,Sydney,Restaurants,0,5,Mastercard,20,0
TXN_49717,USER_5843,127.57,ATM Withdrawal,2023-04-12,43073.71,Laptop,London,Travel,0,7,Visa,228,0
TXN_42294,USER_2756,15.24,POS,2023-12-07,61396.94,Tablet,Mumbai,Travel,0,9,Amex,195,0
TXN_47609,USER_4265,80.4,POS,2023-01-18,60394.4,Laptop,New York,Travel,0,10,Mastercard,95,1
TXN_11076,USER_7471,3.13,POS,2023-04-27,34717.05,Tablet,Mumbai,Restaurants,0,8,Amex,87,0
TXN_41514,USER_8456,9.53,Online,2023-08-18,60125.25,Mobile,Tokyo,Groceries,0,10,Amex,206,0
TXN_22062,USER_5964,24.73,Bank Transfer,2023-07-22,26301.84,Tablet,New York,Clothing,1,2,Amex,162,0
TXN_9413,USER_8631,138.21,POS,2023-12-24,38278.34,Tablet,New York,Electronics,0,2,Mastercard,158,0
TXN_38340,USER_3125,39.63,Bank Transfer,2023-04-25,8549.08,Mobile,Tokyo,Travel,0,13,Visa,17,1
TXN_30263,USER_8150,11.77,ATM Withdrawal,2023-11-10,42891.23,Mobile,London,Groceries,1,5,Discover,106,1
TXN_41252,USER_8968,129.22,Bank Transfer,2023-05-18,19305.37,Mobile,London,Clothing,0,13,Discover,44,0
TXN_14644,USER_6129,13.36,Bank Transfer,2023-07-13,12122.23,Tablet,New York,Groceries,0,6,Visa,159,0
TXN_26335,USER_6910,272.93,POS,2023-03-10,34981.69,Mobile,London,Groceries,0,4,Mastercard,121,0
TXN_28102,USER_6333,23.69,POS,2023-02-16,24626.76,Mobile,Tokyo,Restaurants,0,13,Amex,25,0
TXN_17523,USER_4369,70.81,ATM Withdrawal,2023-10-08,99005.13,Tablet,Mumbai,Electronics,0,3,Visa,211,0
TXN_24712,USER_5004,22.63,Bank Transfer,2023-05-07,85873.02,Mobile,New York,Groceries,0,3,Discover,163,0
TXN_40485,USER_1299,92.27,ATM Withdrawal,2023-08-31,69161.25,Mobile,Mumbai,Travel,0,14,Mastercard,185,1
TXN_3850,USER_5589,112.72,ATM Withdrawal,2023-02-24,85678.68,Tablet,London,Clothing,0,5,Discover,64,0
TXN_40040,USER_4320,213.77,ATM Withdrawal,2023-09-12,44775.66,Mobile,Mumbai,Clothing,0,11,Amex,179,0
TXN_15267,USER_7970,3.06,Bank Transfer,2023-03-14,75650.51,Laptop,Sydney,Electronics,0,3,Discover,62,0
TXN_49146,USER_7335,308.73,Bank Transfer,2023-07-18,841.65,Mobile,Mumbai,Clothing,0,9,Amex,51,0
TXN_30001,USER_1353,18.98,Online,2023-04-27,96821.71,Tablet,Sydney,Clothing,0,5,Discover,202,1
TXN_45926,USER_7190,38.1,Online,2023-06-08,80339.18,Tablet,Mumbai,Restaurants,0,4,Visa,209,0
TXN_43824,USER_9641,69.78,POS,2023-04-15,84572.25,Laptop,New York,Restaurants,0,5,Visa,143,1
TXN_17240,USER_7599,29.6,ATM Withdrawal,2023-01-07,91272.39,Mobile,London,Groceries,1,5,Amex,132,0
TXN_4892,USER_1490,231.0,POS,2023-04-21,50228.86,Tablet,London,Restaurants,0,11,Mastercard,11,1
TXN_725,USER_9717,24.48,POS,2023-07-26,89578.63,Mobile,Mumbai,Electronics,0,10,Mastercard,223,0
TXN_22949,USER_3789,237.11,POS,2023-04-09,38531.58,Mobile,Sydney,Electronics,0,5,Discover,8,0
TXN_34657,USER_3467,306.6,POS,2023-11-07,66429.56,Laptop,Mumbai,Groceries,0,13,Discover,108,0
TXN_37213,USER_1329,29.72,POS,2023-11-24,88648.99,Laptop,London,Groceries,0,3,Mastercard,55,0
TXN_20304,USER_4932,124.88,Online,2023-10-06,72517.85,Tablet,Sydney,Electronics,0,4,Mastercard,93,0
