Transaction_Amount,Account_Balance,Previous_Fraudulent_Activity,Daily_Transaction_Count,Card_Age,Transaction_Year,Transaction_Month,Transaction_Day,Transaction_DayOfWeek,Amount_to_Balance_Ratio,High_Amount_Flag,High_Transaction_Frequency,Transaction_Type_Bank Transfer,Transaction_Type_Online,Transaction_Type_POS,Device_Type_Mobile,Device_Type_Tablet,Location_Mumbai,Location_New York,Location_Sydney,Location_Tokyo,Merchant_Category_Electronics,Merchant_Category_Groceries,Merchant_Category_Restaurants,Merchant_Category_Travel,Card_Type_Discover,Card_Type_Mastercard,Card_Type_Visa,Fraud_Label
39.79,93213.17,0,7,65,2023,8,14,0,0.0004268664302862966,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.19,75725.25,0,13,186,2023,6,7,2,1.5714497944900217e-05,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
28.96,1588.96,0,14,226,2023,6,20,1,0.018214294699237715,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
254.32,76807.2,0,8,76,2023,12,7,3,0.0033111048039141653,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
31.28,92354.66,1,14,140,2023,11,11,5,0.00033869066606204753,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
168.55,33236.94,0,3,51,2023,6,5,0,0.005071012222779149,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
3.79,86834.18,0,2,168,2023,11,7,1,4.364590480494196e-05,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
7.08,45826.27,0,3,182,2023,2,25,5,0.000154493165314015,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
34.25,94392.35,0,7,24,2023,3,9,3,0.0003628433570797095,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
16.24,91859.97,0,6,124,2023,9,20,2,0.00017678890175011212,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
367.5,14640.09,0,4,136,2023,4,11,1,0.025100590188298823,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
50.44,19962.22,0,14,131,2023,8,6,6,0.0025266465029188676,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
55.5,89664.63,0,6,192,2023,7,20,3,0.0006189662638850583,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
54.09,51287.15,0,11,91,2023,11,17,4,0.0010546295781774153,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
9.66,12420.17,0,6,5,2023,6,20,1,0.0007777045157581774,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
64.78,23487.76,0,1,3,2023,7,3,0,0.002757914849485456,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
37.11,92977.91,0,12,135,2023,12,21,3,0.0003991227688085395,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
1.58,63076.36,0,13,47,2023,4,8,5,2.5048606980380916e-05,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
178.56,62359.52,0,4,29,2023,8,16,2,0.0028633500811090094,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1
19.37,34416.01,0,9,129,2023,4,29,5,0.0005628031023031926,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
22.02,55851.38,0,13,204,2023,12,28,3,0.00039425356627595815,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
203.97,73616.91,0,4,173,2023,6,18,6,0.0027706573033654445,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
55.35,88292.27,0,12,80,2023,5,11,3,0.0006268880969070462,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
17.17,71983.33,0,2,165,2023,11,25,5,0.0002385241343497953,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
72.33,29954.64,0,3,120,2023,8,14,0,0.002414570344683005,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
188.75,58078.66,1,4,85,2023,7,16,6,0.003249846848277004,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2.61,51803.62,0,1,86,2023,1,11,2,5.0381606891431686e-05,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
195.76,85000.68,1,14,65,2023,11,28,1,0.0023030133051487925,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
8.06,38155.13,0,9,232,2023,7,9,6,0.00021123735557038937,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
73.34,72060.59,0,9,92,2023,4,20,3,0.0010177405189088946,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9.82,39996.92,0,13,152,2023,11,8,2,0.00024551276666386654,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
197.21,32472.3,0,14,225,2023,4,29,5,0.006072989194199543,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
