Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Date,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Daily_Transaction_Count,Card_Type,Card_Age,Fraud_Label
TXN_33553,USER_1834,39.79,POS,14 August 2023,93213.17,Laptop,Sydney,Travel,0,7,Amex,65,0
TXN_9427,USER_7875,1.19,Bank Transfer,7 June 2023,75725.25,Mobile,New York,Clothing,0,13,Mastercard,186,1
TXN_199,USER_2734,28.96,Online,20 June 2023,1588.96,Tablet,Mumbai,Restaurants,0,14,Visa,226,1
TXN_12447,USER_2617,254.32,ATM Withdrawal,7 December 2023,76807.2,Tablet,New York,Clothing,0,8,Visa,76,1
TXN_39489,USER_2014,31.28,POS,11 November 2023,92354.66,Mobile,Mumbai,Electronics,1,14,Mastercard,140,1
TXN_42724,USER_6852,168.55,Online,5 June 2023,33236.94,Laptop,Tokyo,Restaurants,0,3,Discover,51,0
TXN_10822,USER_5052,3.79,POS,7 November 2023,86834.18,Tablet,London,Restaurants,0,2,Mastercard,168,0
TXN_49498,USER_4660,7.08,ATM Withdrawal,25 February 2023,45826.27,Tablet,London,Restaurants,0,3,Discover,182,1
TXN_4144,USER_1584,34.25,ATM Withdrawal,9 March 2023,94392.35,Tablet,Tokyo,Clothing,0,7,Visa,24,0
TXN_36958,USER_9498,16.24,POS,20 September 2023,91859.97,Mobile,Mumbai,Travel,0,6,Mastercard,124,0
TXN_43106,USER_2848,367.5,POS,11 April 2023,14640.09,Laptop,Mumbai,Electronics,0,4,Amex,136,0
TXN_38695,USER_6860,50.44,ATM Withdrawal,6 August 2023,19962.22,Laptop,London,Travel,0,14,Discover,131,0
TXN_6188,USER_6728,55.5,ATM Withdrawal,20 July 2023,89664.63,Laptop,London,Groceries,0,6,Discover,192,1
TXN_1414,USER_6655,54.09,Bank Transfer,17 November 2023,51287.15,Mobile,Sydney,Electronics,0,11,Amex,91,0
TXN_18471,USER_7651,9.66,Online,20 June 2023,12420.17,Tablet,New York,Electronics,0,6,Mastercard,5,0
TXN_29282,USER_1248,64.78,POS,3 July 2023,23487.76,Laptop,Mumbai,Restaurants,0,1,Amex,3,0
TXN_15177,USER_9349,37.11,POS,21 December 2023,92977.91,Tablet,Sydney,Electronics,0,12,Visa,135,0
TXN_34304,USER_9413,1.58,Bank Transfer,8 April 2023,63076.36,Laptop,New York,Clothing,0,13,Amex,47,0
TXN_12609,USER_5861,178.56,POS,16 August 2023,62359.52,Tablet,Tokyo,Groceries,0,4,Visa,29,1
TXN_12144,USER_5939,19.37,Bank Transfer,29 April 2023,34416.01,Tablet,London,Travel,0,9,Discover,129,0
TXN_6113,USER_5566,22.02,ATM Withdrawal,28 December 2023,55851.38,Mobile,Sydney,Electronics,0,13,Visa,204,0
TXN_15908,USER_4615,203.97,ATM Withdrawal,18 June 2023,73616.91,Mobile,New York,Restaurants,0,4,Mastercard,173,1
TXN_821,USER_3832,55.35,POS,11 May 2023,88292.27,Tablet,Sydney,Electronics,0,12,Visa,80,0
